base,catalyst,temperature,solvent,dehalogenation_pdt,hydrolyis_pdt,desired_pdt,priority
Cs2CO3,XPhos Pd G3,120.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,80.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,80.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,80.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,100.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,100.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,120.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,120.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,120.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,80.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,80.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,RuPhos Pd G4,120.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,80.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,80.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,100.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,100.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,100.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,100.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,XantPhos Pd G4,120.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,XPhos Pd G3,80.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,RuPhos Pd G4,120.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,RuPhos Pd G4,120.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,120.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,80.0,NMP,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,80.0,THF,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,80.0,dioxane,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,80.0,toluene,PENDING,PENDING,PENDING,0.0
Cs2CO3,JackiePhos Pd G3,100.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,THF,0.729990562424058,0.17162967726144052,0.5210366062041293,-1.0
K3PO4,JackiePhos Pd G3,120.0,NMP,0.855803342392611,0.011714084185001972,0.3599780644783639,-1.0
K3PO4,XantPhos Pd G4,80.0,NMP,0.6155595642838442,0.12381998284944151,0.8480082293222344,-1.0
K3PO4,XPhos Pd G3,100.0,dioxane,0.34200316086645866,0.030444653178705927,0.46179339668255515,-1.0
K3PO4,RuPhos Pd G4,100.0,THF,0.5237810685604164,0.2545222900760834,0.5956854741775429,-1.0
Cs2CO3,XPhos Pd G3,100.0,toluene,0.14945996485504986,0.09781775249704106,0.1738548570443399,-1.0
Cs2CO3,XPhos Pd G3,100.0,dioxane,0.20428604232558834,0.45485115629775963,0.7633893597062874,-1.0
K3PO4,JackiePhos Pd G3,100.0,dioxane,0.7936977033574206,0.22392468806038013,0.3453516806969027,-1.0
K3PO4,JackiePhos Pd G3,100.0,toluene,0.05433798833925363,0.19999652489640007,0.01852179446061397,-1.0
K3PO4,JackiePhos Pd G3,80.0,NMP,0.31194499547960186,0.3982210622160919,0.20984374897512215,-1.0
K3PO4,JackiePhos Pd G3,100.0,THF,0.16469415649791275,0.6214784014997635,0.5772285886041676,-1.0
K3PO4,XantPhos Pd G4,100.0,dioxane,0.9903389473967044,0.21689698439847394,0.6630782031001008,-1.0
K3PO4,RuPhos Pd G4,80.0,dioxane,0.9194826137446735,0.7142412995491114,0.9988470065678665,-1.0
K3PO4,JackiePhos Pd G3,80.0,THF,0.18619300588033616,0.9443723899839336,0.7395507950492876,-1.0
K3PO4,XantPhos Pd G4,80.0,THF,0.14944830465799375,0.8681260573682142,0.16249293467637482,-1.0
K3PO4,XantPhos Pd G4,80.0,dioxane,0.8073189587250107,0.5691007386145933,0.40718329722599966,-1.0
K3PO4,XantPhos Pd G4,80.0,toluene,0.06916699545513805,0.6974287731445636,0.45354268267806885,-1.0
K3PO4,XantPhos Pd G4,100.0,NMP,0.26332237673715064,0.02065099946572868,0.7583786538361414,-1.0
K3PO4,XantPhos Pd G4,100.0,THF,0.32001715082246784,0.38346389417189797,0.5883171135536057,-1.0
K3PO4,XantPhos Pd G4,100.0,toluene,0.4536968445560453,0.5365792111087222,0.8966712930403421,-1.0
K3PO4,JackiePhos Pd G3,100.0,NMP,0.9280812934655909,0.7044144019235328,0.03183892953130785,-1.0
K3PO4,XantPhos Pd G4,120.0,NMP,0.6963434888154595,0.3777518392924809,0.1796036775596348,-1.0
K3PO4,XantPhos Pd G4,120.0,THF,0.02467872839133123,0.06724963146324858,0.6793927734985673,-1.0
K3PO4,XantPhos Pd G4,120.0,dioxane,0.05802916032387562,0.4344166255581208,0.3117958819941026,-1.0
K3PO4,XantPhos Pd G4,120.0,toluene,0.4904588086175671,0.22741462797332324,0.25435648177039294,-1.0
K3PO4,JackiePhos Pd G3,120.0,dioxane,0.7220555994703479,0.8663823259286292,0.9755215050028858,-1.0
K3PO4,JackiePhos Pd G3,80.0,dioxane,0.5356328030249583,0.589909976354571,0.7301220295167696,-1.0
K3PO4,JackiePhos Pd G3,80.0,toluene,0.23789282137450862,0.9342139979247938,0.613965955965896,-1.0
Cs2CO3,RuPhos Pd G4,100.0,dioxane,0.07022934401956693,0.055543848222394776,0.5226392204017225,-1.0
